row_id,cluster
0,1
1,1
2,7
3,6
4,1
5,7
6,6
7,6
8,1
9,4
10,1
11,3
12,1
13,5
14,1
15,7
16,1
17,1
18,5
19,5
20,5
21,6
22,6
23,1
24,7
25,6
26,4
27,5
28,5
29,3
30,5
31,5
32,1
33,3
34,7
35,6
36,7
37,1
38,5
39,5
40,6
41,3
42,7
43,6
44,1
45,7
46,1
47,1
48,5
49,6
50,1
51,3
52,0
53,1
54,7
55,3
56,5
57,3
58,6
59,1
60,0
61,1
62,7
63,3
64,7
65,1
66,5
67,5
68,7
69,7
70,0
71,4
72,7
73,1
74,6
75,5
76,1
77,7
78,6
79,1
80,7
81,1
82,1
83,3
84,1
85,0
86,1
87,6
88,6
89,1
90,1
91,7
92,7
93,7
94,3
95,4
96,1
97,6
98,1
99,1
100,1
101,1
102,4
103,6
104,3
105,1
106,6
107,6
108,1
109,1
110,1
111,0
112,5
113,1
114,7
115,7
116,1
117,5
118,4
119,1
120,1
121,6
122,5
123,1
124,6
125,1
126,1
127,7
128,5
129,7
130,1
131,6
132,5
133,7
134,1
135,1
136,7
137,1
138,1
139,7
140,3
141,5
142,6
143,6
144,0
145,7
146,7
147,7
148,1
149,3
150,5
151,1
152,5
153,7
154,6
155,6
156,1
157,6
158,7
159,6
160,5
161,1
162,1
163,6
164,4
165,1
166,3
167,5
168,1
169,7
170,1
171,1
172,7
173,6
174,1
175,5
176,1
177,5
178,1
179,1
180,5
181,1
182,7
183,1
184,3
185,1
186,6
187,1
188,5
189,7
190,7
191,1
192,7
193,7
194,7
195,1
196,6
197,1
198,7
199,1
200,4
201,7
202,5
203,6
204,1
205,3
206,6
207,7
208,7
209,7
210,1
211,1
212,1
213,5
214,3
215,0
216,7
217,1
218,1
219,7
220,2
221,5
222,5
223,7
224,7
225,1
226,7
227,1
228,1
229,1
230,7
231,5
232,4
233,3
234,1
235,1
236,7
237,1
238,1
239,5
240,5
241,7
242,7
243,1
244,7
245,1
246,5
247,5
248,7
249,1
250,1
251,6
252,3
253,1
254,1
255,5
256,1
257,1
258,1
259,3
260,1
261,1
262,7
263,1
264,3
265,1
266,5
267,3
268,7
269,5
270,7
271,1
272,0
273,7
274,7
275,5
276,7
277,1
278,7
279,6
280,2
281,1
282,1
283,7
284,1
285,1
286,4
287,3
288,1
289,1
290,1
291,7
292,4
293,3
294,1
295,1
296,3
297,1
298,1
299,4
300,1
301,1
302,1
303,3
304,5
305,1
306,1
307,1
308,1
309,3
310,1
311,7
312,3
313,1
314,7
315,7
316,3
317,7
318,7
319,1
320,7
321,5
322,7
323,3
324,1
325,0
326,1
327,5
328,1
329,3
330,1
331,7
332,1
333,6
334,1
335,1
336,1
337,3
338,3
339,1
340,6
341,7
342,7
343,7
344,6
345,3
346,1
347,5
348,1
349,3
350,1
351,7
352,7
353,7
354,5
355,7
356,1
357,5
358,1
359,7
360,1
361,3
362,7
363,1
364,5
365,5
366,1
367,5
368,3
369,1
370,7
371,1
372,0
373,4
374,3
375,1
376,7
377,7
378,4
379,7
380,1
381,1
382,1
383,1
384,7
385,1
386,1
387,7
388,0
389,3
390,3
391,7
392,0
393,1
394,7
395,1
396,4
397,1
398,5
399,1
400,4
401,5
402,3
403,1
404,7
405,3
406,1
407,1
408,7
409,1
410,3
411,1
412,1
413,7
414,3
415,7
416,1
417,3
418,7
419,7
420,1
421,7
422,1
423,5
424,7
425,3
426,5
427,7
428,1
429,1
430,1
431,1
432,1
433,2
434,2
435,7
436,7
437,0
438,1
439,1
440,1
441,7
442,1
443,1
444,1
445,1
446,7
447,7
448,1
449,1
450,1
451,6
452,3
453,1
454,4
455,6
456,1
457,4
458,3
459,1
460,5
461,7
462,5
463,1
464,1
465,1
466,3
467,7
468,1
469,1
470,1
471,1
472,1
473,7
474,7
475,3
476,1
477,6
478,1
479,1
480,7
481,1
482,7
483,0
484,3
485,6
486,1
487,3
488,1
489,1
490,1
491,3
492,0
493,4
494,7
495,7
496,1
497,7
498,3
499,1
500,4
501,7
502,1
503,5
504,7
505,1
506,1
507,7
508,1
509,1
510,5
511,6
512,7
513,7
514,1
515,7
516,5
517,7
518,7
519,6
520,7
521,1
522,7
523,1
524,1
525,7
526,4
527,5
528,6
529,1
530,1
531,7
532,1
533,1
534,1
535,1
536,1
537,1
538,0
539,4
540,7
541,5
542,1
543,5
544,1
545,3
546,1
547,1
548,6
549,0
550,3
551,1
552,7
553,7
554,7
555,1
556,6
557,5
558,1
559,3
560,1
561,1
562,6
563,1
564,7
565,3
566,7
567,7
568,5
569,5
570,5
571,1
572,1
573,6
574,3
575,7
576,6
577,7
578,3
579,3
580,1
581,0
582,7
583,0
584,1
585,6
586,1
587,1
588,1
589,1
590,1
591,1
592,4
593,5
594,3
595,7
596,1
597,7
598,5
599,1
600,1
601,6
602,7
603,7
604,5
605,3
606,5
607,6
608,1
609,7
610,7
611,6
612,1
613,1
614,1
615,0
616,3
617,1
618,7
619,1
620,7
621,1
622,1
623,1
624,6
625,7
626,4
627,1
628,1
629,1
630,7
631,7
632,4
633,1
634,3
635,1
636,6
637,6
638,1
639,1
640,5
641,1
642,5
643,7
644,4
645,1
646,5
647,7
648,1
649,5
650,0
651,1
652,4
653,5
654,7
655,7
656,7
657,1
658,1
659,7
660,5
661,4
662,1
663,3
664,7
665,1
666,1
667,5
668,1
669,3
670,3
671,4
672,1
673,1
674,1
675,1
676,1
677,5
678,1
679,1
680,5
681,5
682,1
683,6
684,1
685,1
686,1
687,3
688,1
689,7
690,6
691,4
692,1
693,3
694,1
695,6
696,4
697,3
698,3
699,1
700,7
701,1
702,7
703,7
704,1
705,4
706,4
707,1
708,5
709,1
710,1
711,7
712,1
713,1
714,1
715,5
716,6
717,4
718,7
719,7
720,0
721,7
722,1
723,7
724,6
725,6
726,1
727,7
728,5
729,1
730,1
731,1
732,7
733,7
734,7
735,0
736,1
737,1
738,3
739,1
740,7
741,1
742,1
743,1
744,5
745,1
746,1
747,1
748,3
749,1
750,1
751,1
752,6
753,7
754,1
755,5
756,5
757,3
758,0
759,4
760,1
761,7
762,7
763,4
764,1
765,7
766,7
767,3
768,1
769,5
770,1
771,7
772,1
773,1
774,4
775,1
776,5
777,1
778,1
779,4
780,7
781,7
782,1
783,6
784,1
785,7
786,7
787,1
788,7
789,7
790,7
791,7
792,5
793,5
794,5
795,3
796,1
797,1
798,1
799,7
800,1
801,1
802,6
803,1
804,7
805,7
806,7
807,1
808,1
809,7
810,5
811,1
